timestamp,rnti,e2_node,f1ap,slice_sd,slice_name,cqi,ri,dl_mcs,ul_mcs,pusch_snr_db,pusch_rsrp_db,phr,dl_brate_bps,ul_brate_bps,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,alloc_req_bps,sla_dl_target_bps
1780487859.056,61445,gnbd_001_001_00000213_2,1,1,PERFORMANCE,15,1,28,4,1.7,-0.2,0,59296.0,641864.0,35,0,0,0,,,,300000
1780487859.056,61446,gnbd_001_001_00000213_2,2,2,BUSINESS,15,1,28,4,1.3,-0.2,0,66640.0,606432.0,41,0,0,0,,,,20000000
1780487859.056,61447,gnbd_001_001_00000213_3,0,3,CRITICAL,15,1,28,3,1.6,-0.1,0,117048.0,526424.0,62,0,0,0,,,,350000
1780487859.056,61448,gnbd_001_001_00000213_3,1,1,PERFORMANCE,15,1,0,3,1.1,-0.3,0,0.0,482024.0,0,0,0,0,,,,300000
1780487859.056,61450,gnbd_001_001_00000213_3,2,2,BUSINESS,15,1,28,3,1.4,-0.2,0,556336.0,486264.0,57,0,0,0,,,,20000000
1780487859.056,61441,gnbd_001_001_00000213_4,0,3,CRITICAL,15,1,0,5,1.6,-0.1,0,0.0,518304.0,0,0,0,0,,,,350000
1780487859.056,61442,gnbd_001_001_00000213_4,1,1,PERFORMANCE,15,1,28,4,1.6,-0.1,0,85904.0,524024.0,46,0,0,0,,,,300000
1780487859.056,61444,gnbd_001_001_00000213_4,2,3,CRITICAL,15,1,28,1,1.9,-0.1,0,113320.0,845784.0,76,0,0,0,,,,350000
1780487860.061,61449,gnbd_001_001_00000213_1,0,3,CRITICAL,15,1,0,3,1.1,-0.5,0,0.0,582968.0,0,0,0,0,,,,350000
1780487860.061,61451,gnbd_001_001_00000213_1,1,1,PERFORMANCE,15,1,0,2,0.8,-0.4,0,0.0,649064.0,0,0,0,0,,,,300000
1780487860.061,61452,gnbd_001_001_00000213_1,2,2,BUSINESS,11,1,28,3,2.1,0,0,3515456.0,626488.0,165,0,0,0,,,,20000000
1780487860.061,61443,gnbd_001_001_00000213_2,0,3,CRITICAL,15,1,28,1,1.8,-0.1,0,77552.0,787328.0,49,0,0,0,,,,350000
1780487860.061,61445,gnbd_001_001_00000213_2,1,1,PERFORMANCE,15,1,28,4,1.7,-0.2,0,59296.0,641864.0,35,0,0,0,,,,300000
1780487860.061,61446,gnbd_001_001_00000213_2,2,2,BUSINESS,15,1,28,4,1.3,-0.2,0,66640.0,606432.0,41,0,0,0,,,,20000000
1780487860.061,61447,gnbd_001_001_00000213_3,0,3,CRITICAL,15,1,28,3,1.6,-0.1,0,117048.0,526424.0,62,0,0,0,,,,350000
1780487860.061,61448,gnbd_001_001_00000213_3,1,1,PERFORMANCE,15,1,0,3,1.1,-0.3,0,0.0,482024.0,0,0,0,0,,,,300000
1780487860.061,61450,gnbd_001_001_00000213_3,2,2,BUSINESS,15,1,28,3,1.4,-0.2,0,556336.0,486264.0,57,0,0,0,,,,20000000
1780487860.061,61441,gnbd_001_001_00000213_4,0,3,CRITICAL,15,1,0,5,1.6,-0.1,0,0.0,518304.0,0,0,0,0,,,,350000
1780487860.061,61442,gnbd_001_001_00000213_4,1,1,PERFORMANCE,15,1,28,4,1.6,-0.1,0,85904.0,524024.0,46,0,0,0,,,,300000
1780487860.061,61444,gnbd_001_001_00000213_4,2,3,CRITICAL,15,1,28,1,1.9,-0.1,0,113320.0,845784.0,76,0,0,0,,,,350000
1780487861.065,61449,gnbd_001_001_00000213_1,0,3,CRITICAL,15,1,0,1,1.3,-0.2,0,0.0,731344.0,0,0,0,0,,,,350000
1780487861.065,61451,gnbd_001_001_00000213_1,1,1,PERFORMANCE,15,1,0,2,1.3,-0.1,0,0.0,762304.0,0,0,0,0,,,,300000
1780487861.065,61452,gnbd_001_001_00000213_1,2,2,BUSINESS,11,1,28,2,1.6,0,0,1045608.0,709424.0,73,0,0,0,,,,20000000
1780487861.065,61443,gnbd_001_001_00000213_2,0,3,CRITICAL,15,1,28,1,1.8,-0.1,0,77552.0,787328.0,49,0,0,0,,,,350000
1780487861.065,61445,gnbd_001_001_00000213_2,1,1,PERFORMANCE,15,1,28,4,1.7,-0.2,0,59296.0,641864.0,35,0,0,0,,,,300000
1780487861.065,61446,gnbd_001_001_00000213_2,2,2,BUSINESS,15,1,28,4,1.3,-0.2,0,66640.0,606432.0,41,0,0,0,,,,20000000
1780487861.065,61447,gnbd_001_001_00000213_3,0,3,CRITICAL,15,1,28,3,1.6,-0.1,0,83088.0,536184.0,53,0,0,0,,,,350000
1780487861.065,61448,gnbd_001_001_00000213_3,1,1,PERFORMANCE,15,1,0,3,1.5,-0.2,0,0.0,474912.0,0,0,0,0,,,,300000
1780487861.065,61450,gnbd_001_001_00000213_3,2,2,BUSINESS,15,1,28,3,1.3,-0.1,0,73368.0,495656.0,46,0,0,0,,,,20000000
1780487861.065,61441,gnbd_001_001_00000213_4,0,3,CRITICAL,15,1,0,5,1.6,-0.1,0,0.0,518304.0,0,0,0,0,,,,350000
1780487861.065,61442,gnbd_001_001_00000213_4,1,1,PERFORMANCE,15,1,28,4,1.6,-0.1,0,85904.0,524024.0,46,0,0,0,,,,300000
1780487861.065,61444,gnbd_001_001_00000213_4,2,3,CRITICAL,15,1,28,1,1.9,-0.1,0,113320.0,845784.0,76,0,0,0,,,,350000
1780487862.068,61449,gnbd_001_001_00000213_1,0,3,CRITICAL,15,1,0,1,1.3,-0.2,0,0.0,731344.0,0,0,0,0,,,,350000
