timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779804784.689,17924,13,1,21,4,404608.0,2355352.0,10.4,-38.0,0,139,0,0,0,2,50,PERFORMANCE,1
1779804784.689,17926,5,1,15,26,7219200.0,463328.0,28.8,-20.3,0,1000,0,0,0,0,18,BUSINESS,2
1779804785.689,17922,9,1,16,27,131464.0,243200.0,29.7,-12.3,0,101,1,0,0,2,34,CRITICAL,0
1779804785.689,17924,13,1,21,8,668752.0,4173663.9999999995,14.4,-35.6,0,202,2,0,0,2,48,PERFORMANCE,1
1779804785.689,17926,5,1,15,27,6648184.0,450448.0,29.2,-20.0,0,926,0,0,0,0,17,BUSINESS,2
1779804786.688,17922,9,1,16,27,133728.0,243200.0,29.1,-12.4,0,102,1,0,0,2,34,CRITICAL,0
1779804786.688,17924,13,1,21,8,666648.0,4319696.0,14.6,-35.3,0,188,2,0,0,2,48,PERFORMANCE,1
1779804786.688,17926,5,1,15,26,7219200.0,373552.0,28.8,-20.0,0,1000,0,0,0,0,17,BUSINESS,2
1779804787.688,17922,9,1,16,27,131560.0,243200.0,29.2,-12.5,0,100,1,0,0,2,34,CRITICAL,0
1779804787.688,17924,13,1,21,8,687216.0,4383384.0,14.4,-35.7,0,202,1,0,0,2,48,PERFORMANCE,1
1779804787.688,17926,5,1,15,27,6511096.0,429072.0,29.2,-20.1,0,908,0,0,0,0,17,BUSINESS,2
1779804788.689,17922,9,1,16,27,130168.0,243200.0,29.2,-12.5,0,101,2,0,0,2,34,CRITICAL,0
1779804788.689,17924,13,1,23,9,717272.0,4504000.0,13.7,-36.3,0,205,0,0,0,2,48,PERFORMANCE,1
1779804788.689,17926,5,1,15,27,5968096.0,361480.0,29.6,-19.9,0,837,0,0,0,0,17,BUSINESS,2
1779804789.689,17922,8,1,15,27,127608.0,243200.0,29.9,-12.6,0,104,0,0,0,2,34,CRITICAL,0
1779804789.689,17924,13,1,22,10,748216.0,4947424.0,14.4,-36.0,0,203,3,0,0,2,48,PERFORMANCE,1
1779804789.689,17926,5,1,15,27,6348720.0,390536.0,30.9,-16.7,0,887,0,0,0,0,17,BUSINESS,2
1779804790.689,17922,9,1,15,27,128576.0,243200.0,30.6,-12.9,0,103,1,0,0,2,34,CRITICAL,0
1779804790.689,17924,13,1,23,14,725072.0,5152664.0,17.9,-31.7,0,194,2,0,0,2,48,PERFORMANCE,1
1779804790.689,17926,5,1,15,27,7219200.0,381832.0,32.4,-14.6,0,1000,0,0,0,0,17,BUSINESS,2
1779804791.689,17922,9,1,17,27,116256.0,243200.0,29.6,-14.7,0,100,0,0,0,2,31,CRITICAL,0
1779804791.689,17924,13,1,22,11,522015.99999999994,3816792.0,17.2,-33.2,0,162,3,0,0,2,50,PERFORMANCE,1
1779804791.689,17926,5,1,15,27,6563512.0,445072.0,31.9,-14.9,0,914,0,0,0,0,18,BUSINESS,2
1779804792.689,17922,9,1,17,27,116256.0,243200.0,28.7,-14.7,0,100,0,0,0,2,31,CRITICAL,0
1779804792.689,17924,13,1,22,14,499624.0,3972240.0,19.5,-31.1,0,146,0,0,0,2,50,PERFORMANCE,1
1779804792.689,17926,5,1,15,27,7219200.0,379784.0,30.7,-16.8,0,1000,0,0,0,0,18,BUSINESS,2
1779804793.691,17922,9,1,17,27,116000.0,243200.0,29.2,-14.8,0,100,0,0,0,2,31,CRITICAL,0
1779804793.691,17924,13,1,22,12,509416.0,3914560.0,18.6,-32.0,0,150,0,0,0,2,50,PERFORMANCE,1
1779804793.691,17926,5,1,15,27,6629088.0,345088.0,32.8,-16.0,0,922,0,0,0,0,18,BUSINESS,2
1779804794.688,17922,9,1,17,27,117160.0,243200.0,29.3,-14.7,0,101,0,0,0,2,31,CRITICAL,0
1779804794.688,17924,13,1,22,12,510568.0,3725056.0,18.7,-32.0,0,157,0,0,0,2,50,PERFORMANCE,1
1779804794.688,17926,5,1,15,27,6767712.0,387464.0,32.0,-16.0,0,941,0,0,0,0,18,BUSINESS,2
1779804795.689,17922,9,1,17,27,116384.0,243200.0,29.7,-15.0,0,100,0,0,0,2,34,CRITICAL,0
1779804795.689,17924,13,1,22,12,505944.0,3803328.0,18.9,-31.7,0,151,0,0,0,2,48,PERFORMANCE,1
1779804795.689,17926,5,1,15,27,7219200.0,381832.0,31.6,-16.8,0,1000,0,0,0,0,17,BUSINESS,2
1779804796.689,17922,9,1,17,27,116512.0,243200.0,29.8,-15.2,0,100,1,0,0,2,34,CRITICAL,0
1779804796.689,17924,13,1,23,13,531576.0,3867416.0,19.1,-31.6,0,155,2,0,0,2,48,PERFORMANCE,1
1779804796.689,17926,5,1,15,27,6229568.0,404232.0,31.5,-17.0,0,870,0,0,0,0,17,BUSINESS,2
1779804797.689,17922,9,1,17,27,116768.0,243200.0,29.4,-15.2,0,100,1,0,0,2,34,CRITICAL,0
1779804797.689,17924,13,1,22,13,511704.0,3835416.0,19.2,-31.4,0,152,3,0,0,2,48,PERFORMANCE,1
1779804797.689,17926,5,1,15,27,7219200.0,339200.0,30.7,-16.6,0,1000,0,0,0,0,17,BUSINESS,2
1779804798.689,17922,9,1,17,27,116384.0,243200.0,29.5,-15.2,0,100,2,0,0,2,34,CRITICAL,0
1779804798.689,17924,13,1,22,14,491680.0,3988088.0,19.5,-31.2,0,147,0,0,0,2,48,PERFORMANCE,1
1779804798.689,17926,5,1,15,27,6523192.0,413072.0,30.9,-16.8,0,908,0,0,0,0,17,BUSINESS,2
1779804799.689,17922,9,1,17,27,116384.0,243200.0,29.1,-14.3,0,100,0,0,0,2,34,CRITICAL,0
1779804799.689,17924,13,1,23,13,530352.0,3828984.0,18.8,-31.7,0,159,3,0,0,2,48,PERFORMANCE,1
1779804799.689,17926,5,1,15,27,7219200.0,339200.0,30.6,-17.1,0,1000,0,0,0,0,17,BUSINESS,2
1779804800.689,17922,9,1,17,27,117536.0,243200.0,29.2,-14.1,0,100,1,0,0,2,34,CRITICAL,0
1779804800.689,17924,13,1,23,12,511120.0,3685312.0,18.5,-31.8,0,147,4,0,0,2,48,PERFORMANCE,1
1779804800.689,17926,5,1,15,27,6796328.0,420624.0,31.2,-16.9,0,945,0,0,0,0,17,BUSINESS,2
1779804801.689,17922,9,1,17,27,117664.0,243200.0,29.5,-14.5,0,100,2,0,0,2,34,CRITICAL,0
1779804801.689,17924,13,1,23,13,534136.0,3940608.0,18.8,-31.7,0,167,2,0,0,2,48,PERFORMANCE,1
