timestamp,rnti,cqi,ri,dl_mcs,ul_mcs,dl_brate_bps,ul_brate_bps,pusch_snr_db,pusch_rsrp_db,phr,dl_nof_ok,dl_nof_nok,dl_latency_us,ul_latency_us,prb_min,prb_max,slice_name,f1ap_id
1779809736.549,17924,13,1,26,27,537432.0,3924480.0,33.4,-12.4,0,183,4,0,0,4,42,PERFORMANCE,1
1779809736.549,17926,5,1,15,27,885440.0,742144.0,32.1,-14.0,0,315,0,0,0,0,14,BUSINESS,2
1779809737.549,17922,13,1,26,27,184320.0,240128.0,26.9,-20.0,0,100,3,0,0,4,42,CRITICAL,0
1779809737.549,17924,13,1,25,27,559600.0,4181247.9999999995,33.5,-12.3,0,202,3,0,0,4,42,PERFORMANCE,1
1779809737.549,17926,5,1,15,27,2762184.0,776448.0,31.1,-14.1,0,851,0,0,0,0,14,BUSINESS,2
1779809738.549,17922,13,1,26,27,182624.0,239232.0,26.6,-20.2,0,100,2,0,0,4,42,CRITICAL,0
1779809738.549,17924,13,1,25,27,556072.0,4163584.0,33.3,-12.0,0,195,5,0,0,4,42,PERFORMANCE,1
1779809738.549,17926,5,1,15,27,3209608.0,529272.0,28.1,-17.6,0,967,0,0,0,0,14,BUSINESS,2
1779809739.549,17922,13,1,26,26,184064.0,237312.0,26.3,-20.5,0,100,0,0,0,4,42,CRITICAL,0
1779809739.549,17924,13,1,24,27,538192.0,4145279.9999999995,33.3,-11.9,0,196,3,0,0,4,42,PERFORMANCE,1
1779809739.549,17926,5,1,15,27,3182488.0,460056.0,28.4,-17.2,0,963,1,0,0,0,14,BUSINESS,2
1779809740.55,17922,13,1,26,26,183424.0,236672.0,26.0,-20.8,0,100,0,0,0,4,42,CRITICAL,0
1779809740.55,17924,13,1,25,27,530928.0,3869184.0,33.5,-11.9,0,185,1,0,0,4,42,PERFORMANCE,1
1779809740.55,17926,5,1,15,27,2618472.0,711424.0,32.0,-10.9,0,811,2,0,0,0,14,BUSINESS,2
1779809741.55,17922,13,1,26,26,181152.0,233344.0,25.5,-21.0,0,100,2,0,0,4,42,CRITICAL,0
1779809741.55,17924,13,1,24,27,516408.0,3790848.0,32.5,-12.8,0,182,3,0,0,4,42,PERFORMANCE,1
1779809741.55,17926,5,1,15,27,3239016.0,707280.0,32.9,-5.6,0,973,0,0,0,0,14,BUSINESS,2
1779809742.551,17922,13,1,26,26,181408.0,235648.0,25.8,-21.0,0,100,0,0,0,4,42,CRITICAL,0
1779809742.551,17924,13,1,24,27,548752.0,3990144.0,32.5,-13.0,0,196,1,0,0,4,42,PERFORMANCE,1
1779809742.551,17926,5,1,15,27,3206768.0,577536.0,31.6,-8.3,0,967,1,0,0,0,14,BUSINESS,2
1779809743.549,17922,13,1,26,26,180768.0,238848.0,26.5,-20.9,0,100,0,0,0,4,42,CRITICAL,0
1779809743.549,17924,13,1,25,27,533456.0,3931136.0,33.4,-12.8,0,181,2,0,0,4,42,PERFORMANCE,1
1779809743.549,17926,5,1,15,27,3209424.0,394496.0,30.5,-15.0,0,965,0,0,0,0,14,BUSINESS,2
1779809744.549,17922,13,1,26,27,184304.0,240512.0,26.8,-20.6,0,102,1,0,0,4,42,CRITICAL,0
1779809744.549,17924,13,1,24,27,535312.0,4162816.0,33.5,-12.7,0,196,2,0,0,4,42,PERFORMANCE,1
1779809744.549,17926,5,1,15,27,2900616.0,477056.0,30.3,-14.4,0,879,0,0,0,0,14,BUSINESS,2
1779809745.55,17922,13,1,26,26,180640.0,239232.0,26.6,-21.0,0,100,3,0,0,4,42,CRITICAL,0
1779809745.55,17924,13,1,25,27,537040.0,4144384.0,33.4,-12.9,0,195,2,0,0,4,42,PERFORMANCE,1
